,type,theme,year,account_number,total_emissions
0,cid,combined,2018,58671,
1,cid,combined,2018,59167,
2,cid,combined,2018,50553,
3,cid,combined,2018,826407,
4,cid,combined,2018,60375,
5,cid,combined,2018,54337,3561386
6,cid,combined,2018,55331,
7,cid,combined,2018,74414,2321769
8,cid,combined,2018,831618,
9,cid,combined,2018,60603,
10,cid,combined,2018,10495,
11,cid,combined,2018,831811,
12,cid,combined,2018,54114,
13,cid,combined,2018,50383,
14,cid,combined,2018,57509,1134407.8
15,cid,combined,2018,50396,
16,cid,combined,2018,69985,
17,cid,combined,2018,50665,
18,cid,combined,2018,60268,
19,cid,combined,2018,59535,
20,cid,combined,2018,35449,1095811
21,cid,combined,2018,59572,
22,cid,combined,2018,54354,
23,cid,combined,2018,54517,
24,cid,combined,2018,37261,
25,cid,combined,2018,31185,
26,cid,combined,2018,61427,
27,cid,combined,2018,53959,
28,cid,combined,2018,35274,
29,cid,combined,2018,60340,
30,cid,combined,2018,70261,
31,cid,combined,2018,831617,
32,cid,combined,2018,58543,
33,cid,combined,2018,58795,
34,cid,combined,2018,43907,
35,cid,combined,2018,54277,
36,cid,combined,2018,31154,
37,cid,combined,2018,35858,9701575
38,cid,combined,2018,50550,
39,cid,combined,2018,74440,
40,cid,combined,2018,831962,
41,cid,combined,2018,49334,1367962
42,cid,combined,2018,62814,
43,cid,combined,2018,43917,2785108
44,cid,combined,2018,36154,
45,cid,combined,2018,50378,939862.57
46,cid,combined,2018,50385,
47,cid,combined,2018,50558,2780300
48,cid,combined,2018,31009,
49,cid,combined,2018,60599,
50,cid,combined,2018,74495,
51,cid,combined,2018,50679,
52,cid,combined,2018,54444,
53,cid,combined,2018,31153,
54,cid,combined,2018,54108,
55,cid,combined,2018,50551,4148034
56,cid,combined,2018,52638,737282
57,cid,combined,2018,35880,2351195
58,cid,combined,2018,20113,2536992
59,cid,combined,2018,31055,
60,cid,combined,2018,60223,
61,cid,combined,2018,51374,
62,cid,combined,2018,55371,
63,cid,combined,2018,69834,365148.77
64,cid,combined,2018,60229,
65,cid,combined,2018,60407,
66,cid,combined,2018,54113,
67,cid,combined,2018,73293,
68,cid,combined,2018,826431,
69,cid,combined,2018,74423,
70,cid,combined,2018,54084,1005266
71,cid,combined,2018,54559,
72,cid,combined,2018,58461,
73,cid,combined,2018,36261,
74,cid,combined,2018,54291,
75,cid,combined,2018,50386,
76,cid,combined,2018,50544,
77,cid,combined,2018,31163,
78,cid,combined,2018,50364,
79,cid,combined,2018,55801,383625
80,cid,combined,2018,49787,93726.37
81,cid,combined,2018,50559,903407
82,cid,combined,2018,55799,1067210
83,cid,combined,2018,59536,
84,cid,combined,2018,54687,
85,cid,combined,2018,55418,
86,cid,combined,2018,50571,
87,cid,combined,2018,42123,
88,cid,combined,2018,55616,
89,cid,combined,2018,35877,
90,cid,combined,2018,36004,
91,cid,combined,2018,50391,
92,cid,combined,2018,73295,
93,cid,combined,2018,35393,2882605
94,cid,combined,2018,60206,
95,cid,combined,2018,31051,
96,cid,combined,2018,73301,
97,cid,combined,2018,35907,
98,cid,combined,2018,50220,1871017
99,cid,combined,2018,54608,827.954
100,cid,combined,2018,36036,
101,cid,combined,2018,50543,
102,cid,combined,2018,55372,
103,cid,combined,2018,74573,
104,cid,combined,2018,31148,
105,cid,combined,2018,68383,
106,cid,combined,2018,55800,
107,cid,combined,2018,59631,548456.82
108,cid,combined,2018,49367,
109,cid,combined,2018,31110,8407712
110,cid,combined,2018,54678,
111,cid,combined,2018,54430,
112,cid,combined,2018,60679,
113,cid,combined,2018,59156,
114,cid,combined,2018,35863,12088612
115,cid,combined,2018,36274,
116,cid,combined,2018,52894,
117,cid,combined,2018,54402,
118,cid,combined,2018,31109,955783
119,cid,combined,2018,50578,2593309
120,cid,combined,2018,35857,4346533
121,cid,combined,2018,31172,21327895.49
122,cid,combined,2018,54697,
123,cid,combined,2018,31176,17326232
124,cid,combined,2018,54682,
125,cid,combined,2018,50579,
126,cid,combined,2018,54498,
127,cid,combined,2018,3417,35850141
128,cid,combined,2018,50394,2309846
129,cid,combined,2018,43934,
130,cid,combined,2018,74504,
131,cid,combined,2018,43938,
132,cid,combined,2018,50565,
133,cid,combined,2018,60318,17164389.21
134,cid,combined,2018,58424,
135,cid,combined,2018,54615,
136,cid,combined,2018,58489,142768
137,cid,combined,2018,54510,
138,cid,combined,2018,60413,
139,cid,combined,2018,50357,39246500
140,cid,combined,2018,54405,
141,cid,combined,2018,59124,
142,cid,combined,2018,831823,
143,cid,combined,2018,50562,884432.84
144,cid,combined,2018,31446,3649758
145,cid,combined,2018,60127,
146,cid,combined,2018,60233,
147,cid,combined,2018,36041,
148,cid,combined,2018,14088,
149,cid,combined,2018,63615,
150,cid,combined,2018,54579,
151,cid,combined,2018,50370,
152,cid,combined,2018,54488,
153,cid,combined,2018,60399,
154,cid,combined,2018,54692,
155,cid,combined,2018,831812,
156,cid,combined,2018,58482,2149211
157,cid,combined,2018,31113,11063902
158,cid,combined,2018,60274,
159,cid,combined,2018,54253,
160,cid,combined,2018,54443,
161,cid,combined,2018,826396,
162,cid,combined,2018,50395,
163,cid,combined,2018,35872,1613939.94
164,cid,combined,2018,58597,
165,cid,combined,2018,35903,
166,cid,combined,2018,54521,380799
167,cid,combined,2018,31167,25640207
168,cid,combined,2018,50354,5034285.67
169,cid,combined,2018,60278,
170,cid,combined,2018,826210,
171,cid,combined,2018,13067,
172,cid,combined,2018,68388,
173,cid,combined,2018,50375,
174,cid,combined,2018,60416,
175,cid,combined,2018,74560,
176,cid,combined,2018,826237,
177,cid,combined,2018,53921,1285662.84
178,cid,combined,2018,3203,16784486
179,cid,combined,2018,68385,
180,cid,combined,2018,54606,
181,cid,combined,2018,61790,131281
182,cid,combined,2018,36279,
183,cid,combined,2018,826423,
184,cid,combined,2018,55325,
185,cid,combined,2018,50674,
186,cid,combined,2018,36426,
187,cid,combined,2018,16581,3318000
188,cid,combined,2018,50374,
189,cid,combined,2018,59537,
190,cid,combined,2018,58668,328329
191,cid,combined,2018,43969,
192,cid,combined,2018,2430,
193,cid,combined,2018,60108,
194,cid,combined,2018,36410,9372709
195,cid,combined,2018,36489,
196,cid,combined,2018,50560,2032515
197,cid,combined,2018,74531,1307967
198,cid,combined,2018,73706,300517
199,cid,combined,2018,36002,
200,cid,combined,2018,54104,771673
201,cid,combined,2018,60588,
202,cid,combined,2018,54651,
203,cid,combined,2018,43910,5340340
204,cid,combined,2018,54060,
205,cid,combined,2018,54110,862781
206,cid,combined,2018,31177,
207,cid,combined,2018,54298,
208,cid,combined,2018,31090,2952904.19
209,cid,combined,2018,60371,
210,cid,combined,2018,54388,19330000
211,cid,combined,2018,35865,4037064.53
212,cid,combined,2018,54100,900655
213,cid,combined,2018,60254,
214,cid,combined,2018,59987,
215,cid,combined,2018,36252,
216,cid,combined,2018,31108,19263921
217,cid,combined,2018,63562,
218,cid,combined,2018,35905,10970640
219,cid,combined,2018,35859,8929029
220,cid,combined,2018,54119,
221,cid,combined,2018,74443,
222,cid,combined,2018,42388,
223,cid,combined,2018,58865,
224,cid,combined,2018,49360,
225,cid,combined,2018,62855,158269
226,cid,combined,2018,36263,
227,cid,combined,2018,55334,
228,cid,combined,2018,73229,
229,cid,combined,2018,46470,
230,cid,combined,2018,31158,
231,cid,combined,2018,63919,
232,cid,combined,2018,54102,
233,cid,combined,2018,54409,903000
234,cid,combined,2018,43940,673433
